OrderID,OrderDate,CustomerID,CustomerName,CustomerEmail,Country,ProductID,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,SalesRegion
1,5/4/2025,9233,Justin Burgess,vnelson@roberts-murray.com,Israel,836,electronics,Headphones,7,307.44,2152.08,South
2,9/28/2024,9816,Joe Williams,igordon@yahoo.com,Angola,760,Sports,Football,10,833.84,8338.4,West
3,1/8/2025,1008,Nicholas Barnes,taylorrobert@gmail.com,United Arab Emirates,677,sports,treadmill,9,105.01,945.09,North
4,10/8/2024,9227,Troy Wagner,amartinez@hotmail.com,palau,921,Clothing,Jeans,10,253.59,2535.9,South
4,10/8/2024,9227,Troy Wagner,amartinez@hotmail.com,palau,921,Clothing,Jeans,10,253.59,2535.9,South
4,10/8/2024,9227,Troy Wagner,amartinez@hotmail.com,palau,921,Clothing,Jeans,10,253.59,2535.9,South
5,8/14/2023,1440,Miguel Johnson,taraward@gmail.com,Estonia,956,Electronics,Laptop,2,693.5,1387,north
6,6/23/2023,5333,Deborah Brooks,carolyndodson@castro.net,Hong Kong,546,Electronics,Smartphone,8,994.65,7957.2,North
7,1/7/2024,6466,Jerry Schneider,gcook@gmail.com,United Arab Emirates,812,Clothing,Jacket,5,335.78,1678.9,East
8,9/12/2023,5357,Christopher Hill,jacob63@day.com,Japan,802,Clothing,T-Shirt,4,477.07,1908.28,South
9,12/26/2023,1158,Jessica Morrison,charlesgonzalez@li.org,Guernsey,603,Sports,Tennis Racket,5,21.71,108.55,West
10,11/2/2023,2326,Robert Carroll,cindy25@fernandez-medina.com,Portugal,841,Beauty,Nail Polish,3,803.36,2410.08,South
11,7/7/2024,8277,Kim Weaver,lambertrodney@hotmail.com,Mongolia,526,Clothing,socks,7,992.47,6947.29,North
12,11/12/2024,5174,Larry Mack,barnesjennifer@kennedy-porter.org,Croatia,810,Clothing,T-Shirt,3,46.61,139.83,east
13,9/30/2024,5400,Jessica Weber,mejiaalisha@gmail.com,Guinea,839,Furniture,Couch,1,491.89,491.89,West
14,5/27/2024,2020,Melanie Gonzalez,amber03@hotmail.com,Montserrat,798,Furniture,Bed,4,640.97,2563.88,West
15,10/23/2024,1440,Miguel Johnson,taraward@gmail.com,Estonia,697,Clothing,Shoes,7,278.6,1950.2,East
16,2/12/2024,4073,Joshua Howard,ernestpoole@williams.com,Colombia,976,Electronics,Smartphone,7,242.43,1697.01,West
16,2/12/2024,4073,Joshua Howard,ernestpoole@williams.com,Colombia,976,Electronics,Smartphone,7,242.43,1697.01,West
17,11/14/2023,1792,Patrick Brown,janekelley@hotmail.com,French Southern Territories,823,Furniture,Bed,10,799.32,7993.2,North
18,10/28/2024,9035,Nathaniel Long,perrychristy@miller-bryant.com,Macedonia,621,Clothing,T-Shirt,7,866.25,6063.75,East
19,6/21/2024,9035,Nathaniel Long,perrychristy@miller-bryant.com,Macedonia,626,Clothing,Shoes,10,133.98,1339.8,South
20,8/11/2023,1497,Sarah Nielsen,omcdonald@scott.com,Kiribati,526,Clothing,Jacket,4,903.25,3613,East
21,3/22/2024,2610,Krista Sampson,bonnie76@michael.info,Jamaica,892,Furniture,Couch,3,648.57,1945.71,West
22,12/12/2024,4809,Justin Montgomery,jack80@clark-pratt.com,Djibouti,939,Electronics,Headphones,10,542.34,5423.4,West
23,2/8/2025,9387,Benjamin Hardy,richardgraves@gmail.com,Mexico,763,Clothing,T-Shirt,6,433.91,2603.46,West
24,8/4/2024,4073,Joshua Howard,ernestpoole@williams.com,Colombia,671,Clothing,T-Shirt,8,684.93,5479.44,South
25,12/2/2023,2377,Heather Smith,kingeric@whitney.net,Burkina Faso,513,Clothing,Shoes,4,882.43,3529.72,South
26,1/16/2024,3411,Ashley Lang,kimberly70@best.info,Belgium,882,Furniture,Couch,8,75.11,600.88,West
27,4/21/2024,7107,Randall Robinson,ucarter@sanders-mccarthy.com,Senegal,513,Furniture,Chair,1,43.52,43.52,East
28,5/12/2025,2486,Scott Greene,wconrad@hotmail.com,United States of America,867,Electronics,Laptop,8,324.51,2596.08,West
30,6/18/2024,5514,Jeremiah Fowler,kirstensmith@gmail.com,Congo,950,Clothing,Jacket,3,27.85,83.55,West
31,6/17/2024,3976,Leslie Torres,hrocha@gmail.com,Niger,719,Electronics,Headphones,3,442.59,1327.77,East
32,3/29/2024,8379,David Kelley,bthomas@rios-lawson.com,Guinea,582,Sports,Basketball,9,389.6,3506.4,East
34,5/24/2024,6093,Ashley Russo,johnsmith@hotmail.com,Liberia,698,Sports,Bicycle,4,238.87,955.48,North
35,12/18/2024,2746,Jesse Krause,cookkimberly@yahoo.com,Lesotho,704,Beauty,Perfume,6,757.67,4546.02,North
36,3/29/2024,1440,Miguel Johnson,taraward@gmail.com,Estonia,652,Electronics,Monitor,8,337.62,2700.96,East
37,6/14/2024,3258,Reginald Middleton,wfletcher@gmail.com,South Georgia and the South Sandwich Islands,810,Clothing,Socks,10,823.13,8231.3,West
38,10/13/2023,5909,Sharon Ramos,muellerduane@yahoo.com,Angola,626,Clothing,T-Shirt,4,258.76,1035.04,South
39,9/4/2024,7143,Timothy French,allenglass@rodriguez.com,Ireland,532,Beauty,Lotion,3,285.78,857.34,West
40,1/15/2025,7242,Benjamin Peterson,patrickchad@gmail.com,Niger,852,Clothing,Jeans,7,780.94,5466.58,West
41,9/3/2023,8277,Kim Weaver,lambertrodney@hotmail.com,Mongolia,853,Clothing,Jeans,5,983.68,4918.4,North
42,10/22/2024,9387,Benjamin Hardy,richardgraves@gmail.com,Mexico,989,Electronics,Laptop,3,536.77,1610.31,South
43,3/7/2025,4664,Eric Olson,barreraashley@white-stone.org,Belize,576,Furniture,Chair,4,680.06,2720.24,East
44,10/22/2024,3229,Victor Vazquez,michaelscott@robertson-wilkins.biz,Australia,696,Clothing,Shoes,1,773.37,773.37,South
45,8/30/2023,4717,Emily Phillips,laura35@yahoo.com,Armenia,733,Electronics,Camera,5,218.4,1092,South
46,10/24/2023,9090,Michael Myers,jodisandoval@yahoo.com,Vanuatu,970,Beauty,Perfume,1,490.07,490.07,East
47,1/4/2024,9991,Tyler Chapman,jasonsmith@yahoo.com,Afghanistan,986,Electronics,Monitor,10,293.3,2933,North
48,4/6/2024,8341,Nathaniel Johns,francisco29@ward.info,Macedonia,891,Sports,Treadmill,3,691.06,2073.18,West
49,2/12/2025,7890,Whitney Stewart,jonathan28@meadows.com,Barbados,589,Furniture,Bed,6,756.67,4540.02,North
50,9/4/2023,6891,Mark West,patricia36@steele.com,Japan,985,Electronics,Monitor,5,345.32,1726.6,West
51,12/22/2023,3732,Karen Young,lzuniga@hotmail.com,Saint Barthelemy,526,Beauty,Makeup,1,464.35,464.35,West
52,11/12/2024,8588,Ellen Horton,ybaker@robinson-murphy.com,Mauritania,988,Beauty,Makeup,2,575.61,1151.22,South
54,3/19/2024,2482,Antonio Davis,dana59@villegas-moore.com,Botswana,942,Beauty,Makeup,3,721.04,2163.12,South
56,8/2/2023,5048,Frank Chandler,tammyhoover@bender-ferguson.biz,Mayotte,655,Clothing,Socks,9,651.9,5867.1,West
57,5/30/2025,2132,Alicia Cannon,qbrown@decker.org,Pitcairn Islands,562,Beauty,Nail Polish,1,334.55,334.55,South
58,7/31/2023,9887,Arthur Cortez,denise15@yahoo.com,French Polynesia,607,Electronics,Monitor,3,640.71,1922.13,North
59,3/19/2024,7242,Benjamin Peterson,patrickchad@gmail.com,Niger,611,Clothing,Jacket,7,76.7,536.9,South
60,5/19/2024,8859,Tammy Zhang,rodriguezdalton@hotmail.com,Guam,934,Clothing,Shoes,7,812.35,5686.45,North
61,11/23/2024,9895,Matthew Stark,brianguerra@blankenship.com,Libyan Arab Jamahiriya,596,Beauty,Makeup,6,345.78,2074.68,West
62,12/10/2024,9001,Diane Lawrence,qcook@stewart.biz,Turks and Caicos Islands,788,Clothing,Jacket,1,730.58,730.58,East
63,7/13/2024,6466,Jerry Schneider,gcook@gmail.com,United Arab Emirates,501,Clothing,Shoes,7,827.42,5791.94,East
64,3/7/2025,1008,Nicholas Barnes,taylorrobert@gmail.com,United Arab Emirates,608,Clothing,Jeans,10,253.73,2537.3,North
65,7/4/2024,4717,Emily Phillips,laura35@yahoo.com,Armenia,945,Electronics,Smartphone,8,902.94,7223.52,South
66,7/19/2024,4902,Kenneth Meyer,ryancurry@anderson-garcia.biz,Ireland,895,Sports,Treadmill,2,844.73,1689.46,West
67,5/8/2025,3640,Pamela Allen,djones@yahoo.com,Iceland,598,Beauty,Nail Polish,10,352.35,3523.5,South
68,5/8/2024,4475,Andrea Turner,sellersamanda@burke-rangel.info,Saudi Arabia,543,Beauty,Lotion,2,823.44,1646.88,North
69,9/19/2024,8443,Joseph Wise,nwhite@davis-foster.com,Jersey,601,Clothing,Jacket,10,310.76,3107.6,West
70,10/20/2024,5174,Larry Mack,barnesjennifer@kennedy-porter.org,Croatia,684,Electronics,Headphones,6,911.07,5466.42,East
71,8/8/2023,3226,Ryan Finley,cwhite@smith.com,Luxembourg,744,Sports,Bicycle,4,924.11,3696.44,North
72,3/7/2025,6883,Tamara Perez,jacksonjames@gmail.com,Nigeria,632,Clothing,T-Shirt,3,207.15,621.45,South
73,1/30/2024,3411,Ashley Lang,kimberly70@best.info,Belgium,704,Beauty,Lotion,10,692.29,6922.9,West
74,5/4/2024,3335,Justin Ellis,amybentley@keith.biz,Estonia,862,Sports,Tennis Racket,6,601.56,3609.36,South
75,11/13/2024,5092,Kevin Morse PhD,xoliver@tanner.com,Palau,808,Furniture,Desk,2,796.44,1592.88,North
76,3/20/2025,9001,Diane Lawrence,qcook@stewart.biz,Turks and Caicos Islands,746,Clothing,Jeans,7,892.03,6244.21,North
77,3/8/2024,4804,Jenna Robinson,tolson@brown.com,Venezuela,546,Beauty,Nail Polish,5,976.12,4880.6,North
78,5/19/2024,3553,Lindsay Taylor,dherrera@martinez.com,Jamaica,947,Furniture,Chair,10,992.81,9928.1,South
79,1/14/2024,3607,Jonathan Wood,brownkimberly@hotmail.com,Djibouti,644,Clothing,T-Shirt,6,736.72,4420.32,West
80,4/10/2024,9107,Jason Miller,catherineperry@contreras.com,Palau,616,Electronics,Smartphone,8,397.09,3176.72,East
81,10/6/2024,5061,Dennis Carey,bailey62@yahoo.com,Norfolk Island,958,Clothing,Jacket,1,829.97,829.97,East
82,9/15/2024,5043,Cheryl Young,jmoreno@morales.info,Belgium,688,Sports,Treadmill,2,952.37,1904.74,North
83,12/5/2024,1420,Hayley Fox,danaryan@jimenez.com,Faroe Islands,638,Clothing,T-Shirt,9,918.74,8268.66,East
84,3/14/2025,9583,David Farley,mirandapeterson@fisher.info,Afghanistan,906,Furniture,Table,8,360.15,2881.2,West
85,8/17/2024,3553,Lindsay Taylor,dherrera@martinez.com,Jamaica,894,Sports,Treadmill,7,851.76,5962.32,West
86,5/8/2024,1497,Sarah Nielsen,omcdonald@scott.com,Kiribati,955,Sports,Bicycle,4,94.98,379.92,South
87,8/23/2024,6031,Stephanie Lewis,ronaldcannon@gmail.com,Korea,841,Clothing,Shoes,6,771.31,4627.86,North
88,6/1/2025,2672,Annette Phillips,aaron27@yahoo.com,Guadeloupe,901,Electronics,Monitor,10,823.49,8234.9,East
89,1/15/2025,9326,Cynthia Monroe,adammyers@marsh.com,Nauru,981,Sports,Bicycle,9,721.52,6493.68,West
90,11/22/2024,4148,Gary Torres,greyes@johnson-donovan.com,Malawi,980,Electronics,Laptop,9,772.78,6955.02,West
91,9/27/2023,8604,Timothy Henson,sarah52@reed.org,Mayotte,795,Clothing,Jeans,10,104.87,1048.7,West
92,4/24/2024,4763,Christopher James,beverlyrodriguez@lawson.com,Tunisia,526,Sports,Basketball,10,250.24,2502.4,North
93,2/18/2024,2377,Heather Smith,kingeric@whitney.net,Burkina Faso,631,Furniture,Table,7,616.45,4315.15,East
94,10/6/2023,5808,Susan Powers,everettstephen@smith.com,Iceland,959,Beauty,Nail Polish,5,69.69,348.45,West
95,5/12/2024,8942,Dean Russell,robert06@hines.com,Belarus,805,Clothing,Shoes,3,747.4,2242.2,West
96,5/24/2024,8491,Jane Perkins,gmiller@yahoo.com,Saint Martin,752,Furniture,Chair,1,200.94,200.94,North
97,6/1/2025,5357,Christopher Hill,jacob63@day.com,Japan,528,Clothing,Shoes,9,826.7,7440.3,West
98,10/24/2023,7625,Toni Hernandez,scotttracy@gmail.com,Trinidad and Tobago,995,Sports,Bicycle,10,636.71,6367.1,South
99,1/30/2025,2734,Erica Brown,webermolly@gilmore-andrews.net,Libyan Arab Jamahiriya,995,Beauty,Makeup,3,793.78,2381.34,North
100,11/29/2023,7351,Joshua Rojas,joneserica@smith-guzman.com,Lebanon,613,Electronics,Headphones,1,810.39,810.39,North
101,5/9/2025,2746,Jesse Krause,cookkimberly@yahoo.com,Lesotho,963,Furniture,Bed,4,922.93,3691.72,West
102,5/23/2025,6466,Jerry Schneider,gcook@gmail.com,United Arab Emirates,708,Furniture,Desk,1,809.85,809.85,East
103,2/25/2025,2672,Annette Phillips,aaron27@yahoo.com,Guadeloupe,815,Electronics,Laptop,1,731.11,731.11,East
104,4/6/2025,8305,Wayne Stokes,brendaclark@castillo-delgado.com,Mali,807,Furniture,Bed,9,918.82,8269.38,West
105,9/24/2023,8433,Jacob Norris,mariachang@nguyen.com,South Georgia and the South Sandwich Islands,830,Beauty,Nail Polish,9,774.86,6973.74,North
106,4/16/2025,3226,Ryan Finley,cwhite@smith.com,Luxembourg,837,Clothing,Jeans,5,145.85,729.25,South
107,10/31/2023,2734,Erica Brown,webermolly@gilmore-andrews.net,Libyan Arab Jamahiriya,823,Electronics,Monitor,9,714.17,6427.53,North
108,4/2/2024,1351,Jeffrey Anderson,wallkevin@hotmail.com,French Southern Territories,572,Clothing,Jacket,9,883.37,7950.33,West
109,2/13/2024,9326,Cynthia Monroe,adammyers@marsh.com,Nauru,913,Sports,Bicycle,2,913.53,1827.06,South
110,11/23/2023,7494,Christopher Leon,margaretburnett@rivera.com,New Zealand,800,Sports,Tennis Racket,3,214.44,643.32,North
111,7/19/2024,8588,Ellen Horton,ybaker@robinson-murphy.com,Mauritania,792,Electronics,Headphones,3,977.41,2932.23,South
112,5/12/2025,1712,Karen Williams MD,david62@gmail.com,Netherlands Antilles,962,Beauty,Lotion,10,510.61,5106.1,East
113,11/1/2024,9991,Tyler Chapman,jasonsmith@yahoo.com,Afghanistan,743,Clothing,Jeans,1,191.07,191.07,East
114,12/19/2024,2884,Lorraine Kim,morgandeborah@hotmail.com,Venezuela,807,Clothing,Jacket,6,480.29,2881.74,North
115,4/13/2025,8859,Tammy Zhang,rodriguezdalton@hotmail.com,Guam,679,Clothing,Jeans,7,380.48,2663.36,East
116,1/17/2025,2672,Annette Phillips,aaron27@yahoo.com,Guadeloupe,639,Electronics,Monitor,7,461.5,3230.5,North
117,12/2/2023,4484,Dr. Andrea Lopez,riosdonna@mcdaniel-gallegos.com,Kuwait,797,Electronics,Monitor,10,185.85,1858.5,North
118,3/14/2024,8491,Jane Perkins,gmiller@yahoo.com,Saint Martin,900,Sports,Treadmill,4,368.82,1475.28,West
119,3/16/2024,3640,Pamela Allen,djones@yahoo.com,Iceland,567,Sports,Basketball,5,248.65,1243.25,East
120,12/6/2023,8443,Joseph Wise,nwhite@davis-foster.com,Jersey,754,Furniture,Table,6,601.01,3606.06,North
121,8/18/2023,1712,Karen Williams MD,david62@gmail.com,Netherlands Antilles,767,Furniture,Chair,9,506.29,4556.61,North
122,4/11/2025,7361,Willie Castillo Jr.,awaters@hotmail.com,Comoros,909,Furniture,Chair,3,324.97,974.91,East
123,2/14/2025,8437,Francisco Beasley,thompsonmichelle@gmail.com,Brazil,981,Electronics,Laptop,5,535.69,2678.45,North
124,1/24/2025,8859,Tammy Zhang,rodriguezdalton@hotmail.com,Guam,779,Electronics,Camera,2,283.81,567.62,North
126,10/28/2023,1161,Juan Montoya,shawndixon@brooks-taylor.com,Egypt,699,Clothing,Shoes,9,869.9,7829.1,South
127,1/1/2025,7361,Willie Castillo Jr.,awaters@hotmail.com,Comoros,579,Furniture,Chair,1,733.76,733.76,South
128,1/14/2024,4211,Rachael Woods,washingtonsarah@yahoo.com,Sri Lanka,993,Beauty,Lotion,9,399.69,3597.21,North
129,11/24/2023,6590,Dawn Garza,stephen37@matthews.com,Palau,831,Clothing,Socks,10,595.11,5951.1,South
130,5/31/2025,5622,Aaron Cox,rmelton@hughes.info,Mauritania,782,Sports,Football,10,922.52,9225.2,West
131,3/21/2025,4804,Jenna Robinson,tolson@brown.com,Venezuela,806,Sports,Treadmill,3,710.72,2132.16,West
132,12/27/2023,4896,Paul Gonzalez,charlesmendez@hotmail.com,Australia,726,Beauty,Lotion,9,555.13,4996.17,North
133,2/3/2024,5996,Jessica Kelly,brandy96@watson.com,Turkmenistan,581,Beauty,Shampoo,6,299.12,1794.72,East
134,4/12/2025,8437,Francisco Beasley,thompsonmichelle@gmail.com,Brazil,935,Beauty,Lotion,9,227.52,2047.68,North
135,8/3/2023,3411,Ashley Lang,kimberly70@best.info,Belgium,528,Clothing,Jacket,3,574.22,1722.66,East
136,8/28/2023,1420,Hayley Fox,danaryan@jimenez.com,Faroe Islands,871,Beauty,Nail Polish,10,676.84,6768.4,South
137,8/16/2023,9938,William Rivera,randolphkathryn@curtis.biz,Mongolia,924,Sports,Basketball,1,578.26,578.26,West
138,9/22/2024,1351,Jeffrey Anderson,wallkevin@hotmail.com,French Southern Territories,673,Beauty,Shampoo,10,986.39,9863.9,North
139,1/18/2024,8352,Adam Burns,michael72@hotmail.com,Nigeria,838,Sports,Basketball,2,789.34,1578.68,West
140,3/20/2024,1355,Lindsey Peterson,james86@baldwin-pope.org,Saint Kitts and Nevis,810,Beauty,Shampoo,7,458.66,3210.62,South
142,7/12/2024,9094,Erica Martin,monica53@kim.com,Guadeloupe,599,Sports,Treadmill,5,451.52,2257.6,South
143,6/17/2025,1355,Lindsey Peterson,james86@baldwin-pope.org,Saint Kitts and Nevis,505,Sports,Tennis Racket,9,324.03,2916.27,North
144,3/4/2025,9001,Diane Lawrence,qcook@stewart.biz,Turks and Caicos Islands,905,Sports,Treadmill,9,676.05,6084.45,South
145,8/26/2024,2924,Amanda Hayden,leonard92@hotmail.com,Jersey,562,Sports,Bicycle,10,825.51,8255.1,East
146,8/26/2023,2305,Robert Hill,riverskathleen@yahoo.com,Italy,937,Electronics,Monitor,2,369.48,738.96,West
147,4/15/2025,3411,Ashley Lang,kimberly70@best.info,Belgium,619,Electronics,Smartphone,9,437.99,3941.91,West
148,4/24/2025,1349,Holly Jones,yrangel@yahoo.com,Solomon Islands,735,Beauty,Makeup,9,855.48,7699.32,South
149,4/11/2024,7361,Willie Castillo Jr.,awaters@hotmail.com,Comoros,528,Electronics,Smartphone,2,957.26,1914.52,North
150,11/30/2023,5400,Jessica Weber,mejiaalisha@gmail.com,Guinea,906,Electronics,Laptop,7,413.1,2891.7,West
151,1/2/2025,6274,Daniel Madden,qgarza@flowers.net,Armenia,649,Furniture,Bed,3,139.62,418.86,East
152,6/16/2024,2447,Mario Bates,xcraig@miller.biz,Ecuador,569,Furniture,Bed,4,471.47,1885.88,East
153,1/13/2025,9387,Benjamin Hardy,richardgraves@gmail.com,Mexico,909,Furniture,Chair,2,660.96,1321.92,North
154,3/26/2024,5851,John Flores,kristenkennedy@lane.com,Liberia,511,Sports,Basketball,3,941.12,2823.36,West
155,1/29/2024,2585,Jeffrey Chase,jillcoleman@gmail.com,Montserrat,964,Sports,Bicycle,4,510.18,2040.72,West
156,2/28/2024,8761,Sara Green,joseph01@gmail.com,Nicaragua,745,Beauty,Perfume,6,66.58,399.48,South
157,2/7/2025,3553,Lindsay Taylor,dherrera@martinez.com,Jamaica,516,Electronics,Camera,6,204.55,1227.3,North
158,9/13/2023,1540,Angela Mcdaniel,williamsalicia@gmail.com,Senegal,857,Furniture,Couch,4,919.06,3676.24,South
159,8/20/2024,1344,James Sanchez,richard00@ramirez-smith.com,Bosnia and Herzegovina,651,Electronics,Monitor,2,954.9,1909.8,West
160,9/7/2023,5808,Susan Powers,everettstephen@smith.com,Iceland,980,Clothing,Socks,10,838.53,8385.3,North
162,6/27/2024,2231,Laurie Wise,alexis07@garcia-brown.com,Cook Islands,828,Electronics,Camera,4,962.95,3851.8,East
163,5/1/2025,4319,Fred Hanson,hunttodd@taylor.org,Hungary,947,Sports,Football,9,93.71,843.39,North
165,12/8/2023,1405,Tracey Robbins,stephen58@gmail.com,Samoa,893,Clothing,Shoes,5,771.23,3856.15,North
166,7/13/2024,9895,Matthew Stark,brianguerra@blankenship.com,Libyan Arab Jamahiriya,800,Electronics,Smartphone,7,968.13,6776.91,North
167,9/5/2023,8386,Ronnie Wells,michelle25@gmail.com,Faroe Islands,682,Electronics,Smartphone,9,726.9,6542.1,South
168,2/22/2025,5851,John Flores,kristenkennedy@lane.com,Liberia,725,Clothing,Socks,5,195.9,979.5,North
169,1/16/2025,9107,Jason Miller,catherineperry@contreras.com,Palau,741,Electronics,Smartphone,8,286.51,2292.08,West
170,4/26/2024,3513,Emily Martin,danny09@gmail.com,Grenada,743,Furniture,Couch,5,557.21,2786.05,West
171,8/5/2024,7143,Timothy French,allenglass@rodriguez.com,Ireland,535,Electronics,Smartphone,3,99.14,297.42,West
172,3/20/2025,1161,Juan Montoya,shawndixon@brooks-taylor.com,Egypt,743,Beauty,Makeup,1,409.19,409.19,West
173,5/3/2024,1161,Juan Montoya,shawndixon@brooks-taylor.com,Egypt,705,Beauty,Makeup,6,908.13,5448.78,South
174,9/23/2023,2924,Amanda Hayden,leonard92@hotmail.com,Jersey,896,Clothing,Shoes,3,29.56,88.68,East
175,4/9/2025,2918,Christopher Scott,vsmith@banks.com,Gibraltar,514,Furniture,Desk,6,931.11,5586.66,East
176,11/19/2023,3477,Linda Lopez,laneapril@yahoo.com,Svalbard & Jan Mayen Islands,645,Beauty,Lotion,10,631.85,6318.5,East
177,3/10/2025,5625,Kenneth Hill,ana64@yahoo.com,Micronesia,726,Electronics,Smartphone,1,582.32,582.32,North
178,9/13/2024,5996,Jessica Kelly,brandy96@watson.com,Turkmenistan,766,Electronics,Laptop,3,316.08,948.24,North
179,11/1/2023,9388,Cheryl Stone,julie67@harris.com,Slovakia (Slovak Republic),729,Clothing,Jeans,3,257.09,771.27,North
180,1/22/2025,6466,Jerry Schneider,gcook@gmail.com,United Arab Emirates,552,Electronics,Laptop,5,654.67,3273.35,North
181,10/24/2024,1712,Karen Williams MD,david62@gmail.com,Netherlands Antilles,813,Beauty,Nail Polish,10,994.6,9946,East
182,11/6/2024,8386,Ronnie Wells,michelle25@gmail.com,Faroe Islands,893,Beauty,Shampoo,5,743.33,3716.65,North
183,3/13/2024,7107,Randall Robinson,ucarter@sanders-mccarthy.com,Senegal,556,Furniture,Chair,6,530.03,3180.18,North
184,5/27/2024,6654,Brian Mccarthy,pstout@duncan.com,Anguilla,879,Furniture,Couch,4,492.98,1971.92,East
185,1/17/2025,8491,Jane Perkins,gmiller@yahoo.com,Saint Martin,962,Electronics,Camera,1,930.52,930.52,South
186,3/8/2025,9035,Nathaniel Long,perrychristy@miller-bryant.com,Macedonia,643,Furniture,Chair,3,918.41,2755.23,South
187,3/1/2024,9703,Jeremy Baker,andrew88@brown-ortiz.com,Cuba,730,Electronics,Camera,9,144.7,1302.3,East
188,3/16/2025,7242,Benjamin Peterson,patrickchad@gmail.com,Niger,670,Furniture,Couch,9,499.82,4498.38,East
189,12/22/2024,2681,Rhonda Dunn,bishoplawrence@alvarado-turner.biz,Aruba,513,Furniture,Couch,3,586.52,1759.56,East
190,9/2/2024,4307,Matthew Espinoza,rodriguezbrandon@garcia.com,Zimbabwe,563,Sports,Tennis Racket,4,538.46,2153.84,East
191,10/1/2023,1497,Sarah Nielsen,omcdonald@scott.com,Kiribati,568,Sports,Football,10,827.22,8272.2,West
